sample_id,persona_name,persona_id,euclidean_relative_proximity,mahalanobis_relative_proximity,euclidean_own_distance,euclidean_min_other_distance,mahalanobis_own_distance,mahalanobis_min_other_distance
0,Helpful Assistant,0,0.7548172,0.1999601668819004,0.7027445,0.9310128,24.65437356119846,123.2964242111266
1,Helpful Assistant,0,0.7424173,0.15967454066590162,0.6813458,0.9177397,19.517304703050332,122.23178862238142
2,Helpful Assistant,0,0.6657286,0.14309487139483468,0.6288498,0.9446038,18.536679405737083,129.54118638249255
3,Helpful Assistant,0,0.62705153,0.13279830046031985,0.60396045,0.9631751,17.931330819182705,135.02680950755533
4,Helpful Assistant,0,0.6620395,0.16495232859195652,0.6327534,0.95576376,22.34656229327119,135.472851362711
5,Helpful Assistant,0,0.73129976,0.1385073620289815,0.6836646,0.9348624,17.723238104413998,127.95881637472496
6,Helpful Assistant,0,0.58893245,0.10818390735111254,0.56054366,0.9517962,16.10282690464979,148.84678598627258
7,Helpful Assistant,0,0.7125361,0.14234464716859277,0.6586648,0.924395,17.640787954597155,123.93011121593798
8,Helpful Assistant,0,0.6876069,0.14243760069926914,0.67446375,0.98088574,19.214681804313095,134.8989431862263
9,Helpful Assistant,0,0.55771524,0.12388438310618324,0.5360443,0.9611433,17.91268825866355,144.5919801151232
10,Helpful Assistant,0,0.6982433,0.14281846923660338,0.6662718,0.95421153,19.31423192950354,135.23623403011126
11,Helpful Assistant,0,0.66499317,0.1654313768312066,0.6167727,0.9274873,20.782592504978357,125.62666709945424
12,Helpful Assistant,0,0.6768321,0.1318655236019219,0.65398735,0.96624756,18.054012166907604,136.91230030230943
13,Helpful Assistant,0,0.6043512,0.13490215960430463,0.58412266,0.9665284,18.304537651711094,135.6875064520984
14,Helpful Assistant,0,0.5905465,0.12622103078721095,0.5822838,0.98600835,19.52137192153907,154.6602162871659
15,Helpful Assistant,0,0.6407866,0.13902342186423025,0.6325719,0.98718023,18.836917797635994,135.49456303868033
16,Helpful Assistant,0,0.6940677,0.1629029924754467,0.6544406,0.94290596,19.647715867785273,120.60991372363306
17,Helpful Assistant,0,0.6634955,0.12929572325637992,0.6364034,0.95916766,17.514687661954927,135.4622351059913
18,Helpful Assistant,0,0.68074083,0.15961864691227165,0.6505851,0.9557016,20.82065557849675,130.43999545955327
19,Helpful Assistant,0,0.6458879,0.13451455603407889,0.63147587,0.97768646,18.732385835014316,139.25917303900195
20,Helpful Assistant,0,0.6651111,0.15251012878198367,0.6391067,0.96090215,19.727064666000647,129.34920994133373
21,Helpful Assistant,0,0.74805695,0.17053556215165588,0.7535549,1.0073496,21.663060682723497,127.02957910596216
22,Helpful Assistant,0,0.6437456,0.15906537736750476,0.6329464,0.9832244,21.11029884198516,132.714605725996
23,Helpful Assistant,0,0.7274922,0.160426303147154,0.7101279,0.97613126,21.02174645414191,131.03678163586005
24,Helpful Assistant,0,0.6685218,0.15551819603657158,0.6790809,1.0157946,22.237852128358423,142.991962967015
25,Helpful Assistant,0,0.7380904,0.17553516051556026,0.72224444,0.9785312,21.019722645436488,119.74650881168165
26,Helpful Assistant,0,0.62150425,0.11844547789719356,0.59339756,0.95477635,17.153733130322646,144.82387538012614
27,Helpful Assistant,0,0.7066989,0.16474145113726474,0.68922985,0.97528076,21.76687009504686,132.12746363943594
28,Helpful Assistant,0,0.615814,0.12433884488425583,0.59837663,0.9716841,18.21834472041556,146.52174658188756
29,Helpful Assistant,0,0.6303479,0.11641384444896455,0.61344576,0.97318596,16.907616574202347,145.2371636228764
30,Helpful Assistant,0,0.6161081,0.12990956987261976,0.59625196,0.96777165,18.08669946004287,139.2253047853012
31,Helpful Assistant,0,0.640952,0.13740005418540382,0.6081806,0.9488707,18.42137312136975,134.07107610388903
32,Helpful Assistant,0,0.71651644,0.14598260698012208,0.68279994,0.95294386,19.313387216418352,132.29923492905004
33,Helpful Assistant,0,0.8360034,0.24975364137124395,0.8103881,0.96935976,28.452967999054582,113.92413677268847
34,Helpful Assistant,0,0.657343,0.1437413262202851,0.64086205,0.97492796,19.674729650004537,136.8759435254744
35,Helpful Assistant,0,0.6980051,0.15102178036682534,0.6494355,0.9304166,18.866800140335233,124.92767662060793
36,Helpful Assistant,0,0.76523954,0.21778609912611702,0.7408319,0.9681046,26.233244420876126,120.45417281515661
37,Helpful Assistant,0,0.75784034,0.1954526237493703,0.71639127,0.9453063,23.806441845354012,121.80159768988882
38,Helpful Assistant,0,0.701174,0.16645351114062207,0.6671784,0.95151615,20.772708278332864,124.79585522701178
39,Helpful Assistant,0,0.6517949,0.1303442354234302,0.6367416,0.9769048,17.197618067106674,131.9399972790457
40,Helpful Assistant,0,0.6776123,0.17917031843493902,0.6517824,0.961881,23.46669139899482,130.9742127154623
41,Helpful Assistant,0,0.73184526,0.1489612586047984,0.69485486,0.949456,18.749790689984692,125.87024885261488
