sample_id,persona_name,persona_id,euclidean_relative_proximity,mahalanobis_relative_proximity,euclidean_own_distance,euclidean_min_other_distance,mahalanobis_own_distance,mahalanobis_min_other_distance,score_reduction,score_reduction_factor
9537,Empathetic Counselor,6,1.1232257,0.23532946254495052,0.83057916,0.7394588,20.895102250053608,88.79084677322294,0.8878962263893757,4.772992199052754
6536,Philosophical Thinker,4,1.1015178,0.22656482673676734,0.7608625,0.6907401,19.00880106736338,83.90005342465895,0.8749529697796511,4.861821723970459
8037,Practical Advisor,5,1.0995672,0.24517662135673568,0.8231762,0.74863654,20.690391075493086,84.38973896042174,0.8543905535547633,4.484796180104024
8432,Practical Advisor,5,1.096148,0.1873483554709208,0.82626134,0.75378627,17.01671832735328,90.8292911596682,0.9087996585976827,5.85085474229712
2037,Skeptical Expert,1,1.0955763,0.23992435515610697,0.8268903,0.75475377,21.909890388676647,91.31999281365562,0.855651931159811,4.566340443441352
8433,Practical Advisor,5,1.0949354,0.27384146213962224,0.8639801,0.7890695,24.192014416536804,88.34313922923089,0.8210939550356707,3.998428173075644
6524,Philosophical Thinker,4,1.0935167,0.2101115904593134,0.76052094,0.6954818,18.37382218806146,87.44792301983654,0.8834051169610357,5.204456855663566
2073,Skeptical Expert,1,1.089229,0.28158462219459,0.8843448,0.81189984,25.001097851742305,88.78715626191124,0.8076443654991966,3.8682119044877075
6537,Philosophical Thinker,4,1.0777283,0.25820464311438535,0.7979777,0.74042565,20.196470431885892,78.21885070803627,0.8195236283699896,4.173930640770617
9536,Empathetic Counselor,6,1.0714393,0.19586657331853466,0.78116256,0.72907776,18.924893884803254,96.62135587590029,0.8755726928862994,5.470250732688163
6509,Philosophical Thinker,4,1.068903,0.19284989653916115,0.774236,0.7243277,16.655304679842146,86.364084081632,0.8760530728211904,5.542668098571131
8073,Practical Advisor,5,1.0660146,0.28466408880648236,0.8601836,0.80691534,23.850213009892304,83.78370840484179,0.7813505586773433,3.7448160460047126
8423,Practical Advisor,5,1.0624275,0.17368898255610302,0.8173037,0.7692795,17.902331052938408,103.07119536010755,0.8887385381958501,6.11683887553881
8431,Practical Advisor,5,1.0566541,0.1872798775534024,0.7764536,0.73482287,17.901300020053007,95.58581655388201,0.8693742180963169,5.642112273105353
8434,Practical Advisor,5,1.0537059,0.21474678943991737,0.8163845,0.77477455,21.253598603543566,98.97050688848586,0.8389591412699215,4.906736596426036
2433,Skeptical Expert,1,1.0530802,0.24293330843595815,0.8771523,0.8329397,24.85080688384534,102.29476988494761,0.8101468927130286,4.334853083460965
8036,Practical Advisor,5,1.0437864,0.19387849636925553,0.75944054,0.72758234,18.428159137342313,95.05004155924833,0.8499079101477733,5.383714161518267
2036,Skeptical Expert,1,1.0410217,0.17397523192431363,0.75326645,0.7235838,17.90379832949607,102.91004145512481,0.8670464727494535,5.983735116540349
8408,Practical Advisor,5,1.0388978,0.15341613653906325,0.7994189,0.76948756,15.530339590720871,101.23015701654364,0.8854816162227775,6.7717632329850375
8035,Practical Advisor,5,1.038752,0.18675698107199679,0.7302492,0.7030064,18.26905860375051,97.82262756061361,0.8519949787287234,5.562051570111161
6514,Philosophical Thinker,4,1.0378009,0.1770196260635336,0.733032,0.70633197,15.955076297561146,90.13168004227258,0.8607812820251505,5.862631907923079
6523,Philosophical Thinker,4,1.0356734,0.17934585382760443,0.72748685,0.7024288,17.0876805454035,95.27781200801539,0.8563275260704668,5.774727197728299
8428,Practical Advisor,5,1.0345261,0.18836208222323716,0.7981315,0.7714948,19.34272401238217,102.6890538906772,0.8461640274721974,5.492220607698352
8412,Practical Advisor,5,1.0332154,0.1801763925704942,0.8194144,0.79307216,16.972718683374605,94.20056890490807,0.8530390109863295,5.734466035291372
9539,Empathetic Counselor,6,1.0318828,0.1849092425726485,0.7599361,0.73645586,17.920162764177647,96.91328845899653,0.846973520336287,5.580482341241119
6527,Philosophical Thinker,4,1.0316557,0.20098590820067605,0.7677725,0.74421394,17.831563701175618,88.72046732436358,0.8306697610116652,5.132975134666039
6572,Philosophical Thinker,4,1.0282434,0.2654657692083865,0.7915187,0.76977754,22.020654877008955,82.95101452316845,0.7627776532998533,3.873355971937326
8416,Practical Advisor,5,1.0278512,0.21003113402815146,0.7745986,0.75360966,19.767502941867352,94.11701285780717,0.8178200899174662,4.893804095767297
8401,Practical Advisor,5,1.0271063,0.20850378104664097,0.7959664,0.7749601,19.156570801268042,91.87637128260441,0.8186025040485738,4.926079900994495
6516,Philosophical Thinker,4,1.0267639,0.17133414004210315,0.7197423,0.7009813,16.101677406560558,93.97821941735477,0.8554297759735219,5.992757285636774
8400,Practical Advisor,5,1.0238329,0.23679028653075027,0.83089775,0.811556,21.050878349302607,88.9009370178235,0.7870426306826896,4.323796099129607
8421,Practical Advisor,5,1.0222478,0.17308165004259338,0.80932856,0.79171467,19.271217738505264,111.34177270532632,0.8491661412476899,5.906159266673965
8217,Practical Advisor,5,1.022053,0.2674274356796458,0.8178929,0.8002451,26.08382775546885,97.53609493797394,0.7546255676315115,3.8217956236004356
8424,Practical Advisor,5,1.0206345,0.1998429409143915,0.81163853,0.7952294,21.332647213882563,106.74706405076884,0.820791591060401,5.107183307575577
8435,Practical Advisor,5,1.0194863,0.18103680409853568,0.77548045,0.760658,17.70642857479676,97.80568466707693,0.8384495039993036,5.631375968960145
9535,Empathetic Counselor,6,1.0185051,0.19045832132204848,0.74470544,0.73117495,18.267016284060514,95.91083317999309,0.8280467751134983,5.347653436015238
6520,Philosophical Thinker,4,1.0168078,0.21668287877689582,0.7301261,0.7180571,18.28974280675619,84.40788173941488,0.800124915794027,4.692607926895153
6532,Philosophical Thinker,4,1.0163865,0.19215380310503344,0.7135913,0.70208657,17.93601434242296,93.34196905079695,0.824232705836617,5.289442584626244
6545,Philosophical Thinker,4,1.0162286,0.20652996877685717,0.7827856,0.77028495,18.27053531014481,88.4643299873104,0.8096985878561385,4.920489566969177
2045,Skeptical Expert,1,1.0145167,0.18798626913754296,0.82001495,0.80828136,19.595507899727405,104.23903825332083,0.8265304420975035,5.396759645741786
2072,Skeptical Expert,1,1.0144364,0.19357960229231894,0.8158507,0.8042404,19.90462375941401,102.82397279314903,0.8208567618815702,5.240409382813063
6560,Philosophical Thinker,4,1.0140215,0.2286623787370128,0.761952,0.75141597,20.23374662818027,88.48743173205301,0.7853591371092397,4.434579581683133
9509,Empathetic Counselor,6,1.0139128,0.16201703308843465,0.7630263,0.75255615,16.17075982754488,99.80901093725315,0.8518957638857475,6.258062980456829
6538,Philosophical Thinker,4,1.0116129,0.23460527042391116,0.75928056,0.75056434,19.796586212109382,84.38252975450503,0.7770076217269677,4.311978543035214
8469,Practical Advisor,5,1.0113883,0.2861174176728523,0.8572562,0.8476034,23.617603811999494,82.54514529067905,0.725270884176513,3.534871487641449
6517,Philosophical Thinker,4,1.010049,0.19513565842511615,0.7145607,0.7074515,18.685677736292583,95.757371497856,0.814913327056146,5.176137429894041
9527,Empathetic Counselor,6,1.0098867,0.16906953250963122,0.7823256,0.77466667,16.91812291032408,100.06606547729302,0.8408172091285524,5.973203608288527
8415,Practical Advisor,5,1.0097902,0.1704307142231505,0.7756979,0.7681773,17.429514108931127,102.2674474397267,0.839359467890497,5.924930765657041
6535,Philosophical Thinker,4,1.0093703,0.1977119547580196,0.69740677,0.6909325,17.41694083351482,88.0925023215287,0.81165837223783,5.105256929107912
9717,Empathetic Counselor,6,1.0089847,0.27476537340612645,0.8610771,0.8534094,25.13726529196037,91.48629239684205,0.7342193115380264,3.67216826646052
6553,Philosophical Thinker,4,1.0088177,0.23933254210112445,0.74773127,0.7411956,22.321235474168816,93.26452340416579,0.7694851306283678,4.215129559369488
6521,Philosophical Thinker,4,1.0087517,0.19857767896388306,0.7140462,0.70785123,17.01454863235261,85.6820802878212,0.8101740710284875,5.079884885631282
8420,Practical Advisor,5,1.0081556,0.2072848059425273,0.769502,0.76327705,20.07331163139124,96.83928129762127,0.8008707783927999,4.863625096645303
8072,Practical Advisor,5,1.0077401,0.244454793314353,0.79081,0.78473604,22.419009128677576,91.71024558249584,0.7632853466468896,4.122398772788039
6505,Philosophical Thinker,4,1.0069433,0.2260706453023237,0.7152969,0.71036464,19.72542406653464,87.25336294836457,0.7808726997675616,4.454109217600111
6550,Philosophical Thinker,4,1.006332,0.19963615300335597,0.77093077,0.76607996,17.889475611332156,89.61040043198702,0.8066958868297129,5.040830654636748
6529,Philosophical Thinker,4,1.0063009,0.24131236281934215,0.77367544,0.76883113,20.676365680872905,85.68299377331202,0.764988563389154,4.170117578940042
6573,Philosophical Thinker,4,1.0043774,0.2826462580291141,0.7983167,0.7948374,23.141835506398014,81.8756125333677,0.7217311070831907,3.5534783729875117
6512,Philosophical Thinker,4,1.003079,0.1837026195715443,0.71917576,0.7169682,16.37767290798326,89.15318108245516,0.8193764371682628,5.460341605793764
6504,Philosophical Thinker,4,1.002138,0.23151651086607986,0.7575676,0.75595134,20.657591939267686,89.22729468403668,0.7706215077420134,4.328581209431657
6559,Philosophical Thinker,4,1.0018281,0.20151462076077895,0.76288027,0.7614882,18.257765702146664,90.60268497252481,0.8003134536944823,4.971490756715596
8419,Practical Advisor,5,1.0017916,0.16682365752847717,0.7822369,0.78083795,17.811217883588146,106.76673888742508,0.8349679388841815,6.005093110020386
6525,Philosophical Thinker,4,1.0017653,0.18103829530304555,0.75673586,0.7554024,17.90047629708596,98.87673912926435,0.8207269558566224,5.533443901925736
6526,Philosophical Thinker,4,1.0015576,0.20631467012068022,0.7256606,0.72453207,17.88526220174332,86.68924120268153,0.7952429184565903,4.8545146498376806
6510,Philosophical Thinker,4,1.0009222,0.16623154555699735,0.6933014,0.6926626,16.060689976072258,96.61637881219951,0.8346906575069675,6.021253064273347
8430,Practical Advisor,5,1.0008122,0.20596160782450057,0.8039221,0.8032697,20.646139838622016,100.24266200239875,0.7948505650652089,4.859217130128928
