sample_id,persona,n_replacements,cosine_distance,euclidean_distance,clean_reconstruction_error,adv_reconstruction_error,detected
0,Creative Writer,2,0.0059794188,0.8619151,0.047833193,0.04694054,False
1,Creative Writer,2,0.005606532,0.86835635,0.049049277,0.04507414,False
2,Creative Writer,2,0.0043287873,0.73015565,0.04730026,0.04738678,False
3,Creative Writer,2,0.003486693,0.6875681,0.050339848,0.047811564,False
4,Creative Writer,2,0.0024504662,0.5584435,0.050850194,0.050051864,False
5,Creative Writer,2,0.006166756,0.88647395,0.049651265,0.047985654,False
6,Creative Writer,2,0.0073061585,0.97422826,0.050410103,0.048197404,False
7,Creative Writer,2,0.0023909807,0.5570935,0.05002029,0.049475815,False
8,Creative Writer,2,0.0046372414,0.77474815,0.051757295,0.050937664,False
9,Creative Writer,2,0.0069259405,0.9573452,0.051040616,0.046497587,False
10,Creative Writer,2,0.0056495667,0.8587811,0.048832368,0.045040835,False
11,Creative Writer,2,0.0045151114,0.7635866,0.05063036,0.048360046,False
12,Creative Writer,2,0.003180027,0.6370051,0.049466,0.047928203,False
13,Creative Writer,2,0.005283296,0.8167741,0.048559334,0.04633725,False
14,Creative Writer,2,0.0077165365,1.0277082,0.0498646,0.045736525,False
15,Creative Writer,2,0.0022304058,0.5388896,0.052134287,0.05130594,False
16,Creative Writer,2,0.0074356794,0.99504673,0.05338712,0.05153149,False
17,Creative Writer,2,0.0059295893,0.8813584,0.05234961,0.05119447,False
18,Creative Writer,2,0.0030495524,0.63710016,0.053180117,0.051069897,False
19,Creative Writer,2,0.004645407,0.7791243,0.05221525,0.05090857,False
20,Creative Writer,2,0.0070290565,0.92811275,0.04688725,0.04583465,False
21,Creative Writer,2,0.0063764453,0.90327793,0.04970667,0.047404647,False
22,Creative Writer,2,0.0029002428,0.6030437,0.046897154,0.04585947,False
23,Creative Writer,2,0.003728032,0.71255624,0.05320974,0.05158846,False
24,Creative Writer,2,0.004603982,0.7817086,0.054197367,0.05282787,False
25,Creative Writer,2,0.0104056,1.1332201,0.048169304,0.04603751,False
26,Creative Writer,2,0.0021326542,0.52876085,0.05165407,0.050693247,False
27,Creative Writer,2,0.003786087,0.7041477,0.049667444,0.04737054,False
28,Creative Writer,2,0.005635619,0.85735506,0.04948022,0.04587266,False
